Line Number,Sentence
1,இளங்குமரனார் தமிழ்வளம் .
2,கழக ஆட்சியர் வ.சு.வரலாறு ஆசிரியர் முது முனைவர் இரா.இளங்குமரன் வளவன் பதிப்பகம் சென்னை .
3,நூற் குறிப்பு நூற்பெயர் இளங்குமரனார் தமிழ்வளம் ஆசிரியர் இரா.
4,இளங்குமரன் பதிப்பாளர் கோ.
5,படிகள் நூலாக்கம் செவன்த்சென் கம்யூனிகேசன் அட்டை ஓவியம் ஓவியர் மருது அட்டை வடிவமைப்பு வ.
6,"மலர் அச்சிட்டோர் ஸ்ரீ வெங்கடேசுவரா ஆப்செட் பிரிண்டர் இராயப்பேட்டை, சென்னை ."
7,"வெளியீடு வளவன் பதிப்பகம் எண் சிங்கார வேலர் தெரு, தியாகராயர் நகர், சென்னை ."
8,அவர் தம் அருந்தமிழ்ப் பணியை வணங்கி மகிழ்கிறோம்.
9,இவர் தந்நலம் கருதாமல் தமிழ் நலம் காத்து வருபவர்.
10,தம்மைமுன்னிறுத்தாது தமிழை முன்னிறுத்தும் பெருந்தமிழறிஞர்.
11,தமக்கென வாழாது தமிழ்க்கென வாழ்பவர்.
12,ஒருநாளின் முழுப் பொழுதும் தமிழாகவே வாழும் தமிழ்ப் போராளி.
13,சங்கச் சான்றோர் வரிசையில் வைத்து எண்ணத்தக்க அருந்தமிழறிஞர்.
14,தமிழ் இலக்கண இலக்கிய மரபைக் காத்து வரும் மரபு வழி அறிஞர்.
15,மொழிநூல் கதிரவன் பாவாணரின் வேர்ச்சொல் ஆய்வில் அவர் காட்டிய வழியில் தம் தமிழாய்வைத் தொடர்பவர்.
16,தமிழர் இல்லம்தோறும் இருக்கத்தக்க இவ்வருந்தமிழ்ச் செல்வங்களைத் தமிழ் இளம் தலைமுறைக்கு வைப்பாகக் கொடுத்துள்ளோம்.
17,சலுகை போனால் போகட்டும் என் அலுவல் போனால் போகட்டும் தலைமுறை ஒருகோடி கண்ட என் தமிழ் விடுதலை ஆகட்டும்.
18,பாவேந்தர் வரிகளை நினைவில் கொள்வோம்.
