Line Number,Sentence
1,வளர்மதி முதற்பதிப்பு தாள் . கி.,False
2,வெள்ளை மேப்லித்தோ அளவு தெம்மி எழுத்து புள்ளி பக்கம் நூல் கட்டமைப்பு இயல்பு சாதாரணம் விலை உருபா.,False
3,"படிகள் நூலாக்கம் பாவாணர் கணினி தி.நகர், சென்னை .",False
4,அட்டை வடிவமைப்பு செல்வி வ.,False
5,"மலர் அச்சிட்டோர் ஸ்ரீ வெங்கடேசுவரா ஆப்செட் பிரிண்டர்ஸ் இராயப்பேட்டை, சென்னை .",False
6,சில நூற்றாண்டுகள் கி.பி. கி.பி.,False
7,"சோழர் சிற்றரசர்களாகவோ, மிகச்சிறு நிலப் பகுதிகளை ஆண்டவர் களாகவோ ஒடுங்கியிருந்தனர்.",False
8,அவற்றையும் சேர்த்துத்தான் இந்தக் கணக்கு.,False
9,ஆகிய முந்நூறு ஆண்டுகளில்தான் அந்த முந்நூறு ஆண்டுகளில் சேர நாட்டுப் பகுதியும் கூடச் சோழரின் கீழ்த்தான் இருந்தது.,False
10,பிற்காலச் சோழர் விசயாலயன் பரம்பரை ஆண்ட கி.பி.,False
11,பிற்காலச்சோழர் ஆட்சிக்காலத்தைப் பற்றி அறிய கல்வெட்டுச் சான்றுகள் மிகப் பலவாகும்.,False
12,இந்த இல் விழுக்காடு ஆகிய கல்வெட்டுக்கள் பிற்காலச் சோழரைச் கி.பி. கால அளவு சார்ந்தவை என்பார் சுப்பராயலு.,False
13,தமிழ்க் கல்வெட்டுகளில் பாண்டியருடையவை .,False
14,நீலகண்ட சாத்திரியார் திருத்திய இரண்டாம் பதிப்பு இல் வெளிவந்தது.,False
15,வரலாற்றுத் துறையில் தடம்பதித்த தமிழறிஞர்களுள் தலைசிறந்த சிலருள் ஒருவர் சதாசிவப் பண்டாரத்தார்.,False
16,எனவே ஒவ்வொரு காலத்தையும் பொருளையும் பற்றி பல்வேறு வரலாறுகள் இருக்கக் கூடியனவே.,False
17,காரி பெக்மான்.,False
18,காயடித்த வரலாற்றாசிரியன் நமக்குத் தேவை யில்லை.,False
19,ஆர்.ஜி.காலிங்வுட் மேற்கண்டவற்றின் ஆங்கில மூலங்கள் வரலாற்று மாணவர் வசதிக்காகக் கீழே தரப்படுகின்றன.,False
20,", , , .",False
21,". , , ..",False
22,", .",False
23,", , , , .. ..",False
24,பல்கூறுகளாக அதிகாரம் பிளவுண்டு நிலவிய அரசு தான் அது.,False
25,", , , .",False
26,"நொபுரு கராசிமா, ஒய்.சுப்பராயலு, பி.சண்முகம் இவர்கள் ஆய்வின் முடிவு டெய்ன் கருத்து ஆதாரமற்றது என்பதாகும்.",False
27,பிற்காலச் சோழர் ஆட்சி முழு அதிகார அரசின் தொடக்கநிலை என்பார்.,False
28,நாராயணன் இவர்கள் பிற்காலச் சோழ அரசு நிலமானிய அரசு என்பர்.,False
29,"டெய்ன் கருத்துக்கும், கரோசிமா கருத்துக்கும் இடைப்பட்ட நிலையே என்னுடையது ஆகும்.",False
30,"இணைப்பு பிற்காலச் சோழர் வரலாறு பற்றிய அண்மைக்கால நூல்கள், கட்டுரைகளை உள்ளடக்கிய நூற்பட்டியல் .",False
31,. தென்னாட்டுப் போர்க்களங்கள் .,False
32,. சோழர்களின் அரசியல் வரலாறு .,False
33,", .",False
34,. .,False
35,", .",False
36,. .,False
37,", , .",False
38,", .",False
39,"கைலாசபதி, க பண்டைத் தமிழர் வாழ்வும் வழிபாடும் பார்க்க.",False
40,"பக். பேரரசும் பெருந் தத்துவமும். , .",False
41,".. . , .",False
42,", .. , .",False
43,".. . . , , .",False
44,.. .. .,False
45,"இராசமாணிக்கனார் மா சோழர் வரலாறு சைசிநூப , .",False
46,"., .",False
47,சதாசிவப் பண்டாரத்தார் டி.வி.,False
48,"பிற்காலச் சோழர் சரித்திரம் பகுதி பிற்காலச் சோழர் சரித்திரம் பகுதி பகுதி சோழர் அரசியல் , ..",False
49,", . .. , . . .",False
50,",.. சரித்திரம் , . பதிப்புரை வரலாறு என்பது உணர்ச்சிகளின் தொகுப்பு அல்ல.",False
51,உண்மை நிகழ்வுகளின் தொகுப்பு. வரலாறு என்பது ஓர் இனத்தின் வாழ்வுக்கும் தாழ்வுக்கும் சான்று கூறும் நினைவுச் சின்னம்.,False
52,வரலாறு என்பது மாந்த இனத்தின் அறிவுக்கருவூலம்.,False
53,வரலாறு என்பது என்ன?,False
54,"இவ்வரலாற்றை எழுதுபவர் அறிவு நிலை, மனநிலை, சமுதாயப் பார்வை,பட்டறிவு, கண்ணோட்டம், பிறசான்றுகளை முன்வைத்து எழுதுவர்.",False
55,"அஃது அறிவியல், கலை, சமயம் ஆகியவற்றின் ஊற்றாகத் திகழ்வது.",False
56,ஓர் இனத்தின் வாழ்வும் தாழ்வும் அந்த இனம் நடந்து வந்த காலடிச்சுவடுகளைப் பொறுத்தே அமையும்.,False
57,அத்தனையும் பெருமளவு உள்ள மண் தமிழ்மண்ணே ஆகும்.,False
58,"மொழி, இன, நாட்டு வரலாறு என்பது ஒரு குடும்பத்திற்கு எழுதப்படும் ஆவணம் போன்றது.",False
59,இவ்வரலாறு உண்மை வரலாறாக அமைய வேண்டும் என்பார் மொழிநூல் மூதறிஞர் பாவாணர்.,False
60,இந்தியப் பெருநிலத்தின் வரலாறு வடக்கிலிருந்து எழுதப் படக் கூடாது.,False
61,அந்த வரலாறு இந்தியாவின் தென்முனையிலிருந்து எழுதப்படவேண்டும்.,False
62,அதுவே உண்மை வரலாறாக அமையும் என்பது மனோண்மணீயம் சுந்தரனார் கூறியது வின்சென்ட் சுமித் ஏற்றது.,False
63,"தமிழ்நாட்டில் இன்று வரலாறு, மொழியியல் போன்ற துறைகளில் வல்லுநராகத் திகழும் அறிஞர் பி.",False
64,இராமநாதன் அவர்கள் அந்நூலினை தமிழாக்கம் செய்துள்ளார்.,False
65,அதனைத் தமிழர் வரலாறு கி.பி. வரை எனும் நூலாகத் தமிழ்மண் பதிப்பகம் இல் வெளியிட்டுள்ளது.,False
66,இவ்வரலாற்று வரிசைக்கும் திரு.,False
67,இராமநாதன் அவர்கள் அறிமுகவுரைகள் வழங்கி அணிசேர்த்துள்ளார்.,False
68,"பள்ளிகள், கல்லூரிகள், பல்கலைக் கழக வரலாற்றுத் துறைகள் ஆகியவற்றின் மாணவர்களும், கல்லூரிபல்கலைக்கழக ஆய்வுத் துறைகளும் இந்நூல்களை வாங்கிப் பயன்கொள்வாராக.",False
69,இவ்வருந்தமிழ் பெருமக்களை நன்றி உணர்வோடு நினைவுகூர்கிறோம்.,False
70,வாங்கிப் பயன் கொள்ளுங்கள்.,False
71,தொண்டு செய்வாய்!,False
72,தமிழுக்குத் துறைதோறும் துறைதோறும் துடித்தெ ழுந்தே!,False
73,செயல்செய்வாய் தமிழுக்குத் துறைதோறும் துறைதோறும் சீறி வந்தே.,False
74,ஊழியஞ்செய் தமிழுக்குத் துறைதோறும் துறைதோறும் உணர்ச்சி கொண்டே.,False
75,தமிழுக்குத் துறைதோறும் துறைதோறும் பழநாட் டானே.,False
76,இதுதான்நீ செயத்தக்க எப்பணிக்கும் முதற்பணியாம் எழுக நன்றே.,False
77,எனும் பாவேந்தர் வரிகளை நெஞ்சில் நிறுத்துங்கள்.,False
78,"மொழியாலும், இனத்தாலும் அடிமைப்பட்ட வரலாறு தமிழரின் வரலாறு.",False
79,இவ்வரலாற்றை மீட்டெடுக்க உழைத்த பெருமக்களை வணங்குவோம்.,False
80,இப்பெருமக்கள் அனைவரையும் நன்றி யுணர்வுடன் இந்த நேரத்தில் வணங்குவோம்.,False
81,அவர்கள் வழி பயணம் தொடருவோம்.,False
82,தமிழ் இனமே!,False
83,என் தமிழ் இளையோரே!,False
84,நம் முன்னோரின் வாழ்வையும் தாழ்வையும் ஆழ நினையுங்கள்.,False
85,இனத்தின் மீளாத் துயரை மீட்டெடுக்க முனையுங்கள்.,False
86,நூலாக்கத்திற்குத் துணை நின்றோர் நூல் கொடுத்து உதவியோர் பெரும்புலவர் இரா.,False
87,"இளங்குமரனார், முனைவர் ஒளவை.",False
88,"நடராசன், முனைவர் அ.ம.சத்தியமூர்த்தி, பி.",False
89,"இராமநாதன், ஞானாலயா கிருஷ்ணமூர்த்தி நூல் உருவாக்கம் நூல் வடிவமைப்பு மேலட்டை வடிவமைப்பு செல்வி வ.மலர் அச்சுக்கோப்பு முனைவர் கி.",False
90,"செயக்குமார், ச.அனுராதா, மு.ந.இராமசுப்ரமணிய ராசா, மெய்ப்பு சுப.இராமநாதன், புலவர் மு.",False
91,"இராசவேலு, அரு.அபிராமி, அ.",False
92,கோகிலா உதவி அரங்க.,False
93,"குமரேசன், வே.",False
94,"தனசேகரன், ரெ.",False
95,உள்ளடக்கம் பிற்காலச் சோழர் சரித்திரம் .,False
96,சோழரின் தொன்மை .,False
97,கடைச் சங்கத்திறுதிக் காலத்திற்கும் பிற்காலச் சோழர் ஆட்சியின் தொடக்கத் இடைப்பட்ட சோழர் நிலை .,False
98,சோழன் விசயாலயன் கி.,False
99,பி .,False
100,முதல் ஆதித்த சோழன் கி.,False
101,முதற் பராந்தக சோழன் கி.,False
102,கண்டராதித்த சோழன் கி.,False
103,அரிஞ்சய சோழன் கி.,False
104,இரண்டாம் பராந்தகனாகிய சுந்தர சோழன் கி.,False
105,உத்தம சோழன் கி.,False
106,முதல் இராசராசசோழன் கி.,False
107,முதல் இராசேந்திர சோழன் கி.,False
108,முதல் இராசாதிராச சோழன் கி.,False
109,இரண்டாம் இராசேந்திர சோழன் கி.,False
110,வீரராசேந்திரசோழன் கி.பி. .,False
111,அதிராசேந்திரசோழன் கி.,False
112,சேர்க்கை சேர்க்கை சேர்க்கை பொருட்குறிப்பு அகராதி பிற்காலச் சோழர் சரித்திரம் கி.,False
113,பி கி.,False
114,சோழரின் தொன்மை வடவேங்கடம் தென்குமரிக்கு இடையிலுள்ள நிலப்பரப்பு முற்காலத்தே தமிழகம் என்று வழங்கப்பெற்றது.,False
115,இப்போது இதனைத் தமிழ்நாடு என்றே யாவரும் கூறிவருகின்றனர்.,False
116,"இவர்கள் ஆட்சி புரிந்த பகுதிகள் முறையே சேர மண்டலம், சோழ மண்டலம், பாண்டி மண்டலம் எனப்படும்.",False
117,இம் மூவேந்தருள் இடையிலுள்ள சோழரின் வரலாறே ஈண்டு ஆராயப்பெறுவது.,False
118,இனி சோழர் என்பார் நம் தமிழகத்தின் கீழ்ப்பகுதியாகிய சோழ மண்டலத்தைத் தொன்றுதொட்டு ஆட்சிபுரிந்து வந்த அரச மரபினர் ஆவர்.,False
119,"எனவே, எவரும் ஆராய்ந்து அளந்து காண்டற்கரிய அத்துணைத் தொன்மையுற்ற குடியினர் இன்னோர் என்பது நன்கு தெளியப்படும்.",False
120,"ஆகவே, இவர்கள் படைப்புக் காலந்தொட்டு மேம்பட்டு வருந் தொல்குடியினர் என்று ஓர் அறிஞர் கூறியிருப்பது பொருத்தமுடையதேயாம்.",False
121,இராமாயண பாரத காலங்களிலும் இவற்றிற்கு முந்திய நாட்களிலும் இவர்கள் மிகச் சிறப்புடன் விளங்கியுள்ளனர் என்பதற்குப் பல ஆதாரங்கள் காணப்படுகின்றன.,False
122,"அன்றியும், கி.",False
123,நிலவளமும் நீர் வளமும் ஒருங்கே அமைந்துள்ளமையால் இதன் நெல் விளைவு எந்த நாட்டினரும் புகழ்ந்து கூறும் இயல்புடையதாகும்.,False
124,நெல்லுடைமையால் குடியுயர்தலும் குடியுயர்தலால் கோன் உயர்தலும் இயல்பே யாம்.,False
125,"சுருங்கச் சொல்லுமிடத்து, செல்வ வளம் பற்றி மூவேந்தருள்ளும் முதல் வேந்தராய்த் திகழ்ந்தவர் இவர்களே எனலாம்.",False
126,சோழர் குடியினர் சூரிய குலத்தினர் என்பது சங்கத்துச் சான்றோர் கருத்தாகும். செப்பேடுகளும் கல்வெட்டுக்களும் அங்ஙனமே அறிவிக் கின்றன.,False
127,இவர்களது கொடியும் இலச்சினையும் புலியுருவம் பொறிக்கப் பெற்றவையாகும்.,False
128,பிற்காலச் சோழர் ஆட்சிக் காலத்தும் இம்மாநகர் சோழரது இரண்டாவது தலைநகராய்ச் சிறப்புடன் நிலவியமை அறியற் பாலதாம்.,False
129,மூன்றாம் நூற்றாண்டிற்கு முன் சோழ மண்டலத்தில் ஆட்சிபுரிந்த முடியுடைவேந்தர் ஆவர்.,False
130,அன்னோர் வரலாறுகளும் மிகச் சுருக்கமாகவே சங்க நூல்களில் காணப்படுகின்றன.,False
131,கடைச்சங்கத்திறுதிக் காலத்திற்குப் பிறகு கி.,False
132,"இதற்குக் காரணம், இவர்கள் தம் பெருமை யிழந்து தாழ்ந்த நிலையிலிருந்தமையேயாம்.",False
133,"இனி, அக்காலப் பகுதியில் நிகழ்ந்தவற்றை ஆராய்ந்து இவர்கள் நிலையை இயன்றவரையில் உணர்ந்துகொள்வதும் இன்றியமையாத தாகும்.",False
134,பாண்டி நாடு களப்பிரரால் கைப்பற்றப் பட்டிருந்த செய்தி வேள்விக்குடிச் செப்பேடுகளாலும் புலனாகின்றது.,False
135,அந்நாட்களில் தான் சோழரும் தம் நாட்டைக் களப்பிரரிடம் இழந்திருத்தல் வேண்டும் என்பது ஒரு தலை.,False
136,"சோழ நாட்டைக் களப்பிரரிடமிருந்து கைப்பற்றிய பல்லவர், தமிழகத்தின் கீழ்ப்பகுதிக்குப் பேரரசராய் விளங்குவாராயினர்.",False
137,"எனவே, அந்நாட்களில் இவர்கள் பல்லவர்க்குத் திறை செலுத்தும் குறுநில மன்னராயிருந்தனர் என்பது தேற்றம்.",False
138,"ஆகவே, இவர்கள் வேறு ஒரு நகரத்தில்தான் இருந்திருத்தல் வேண்டும்.",False
139,இவற்றையெல்லாம் ஏற்றுக்கொள்ள முடிய வில்லை.,False
140,கோனாடு என்பது புதுக்கோட்டை இராச்சியத்தில் முற்காலத்திலிருந்த ஒரு நிலப்பரப்பாகும்.,False
141,"அது, சோழ மண்டலத்திற்கும் பாண்டி மண்டலத்திற்கும் இடையில் அமைந்திருந்த ஒரு சிறு நாடு எனலாம்.",False
142,அவர்கள் கடைச்சங்க நாளில் வாழ்ந்த இருங்கோவேளின் வழியினர் சோழ மரபினர் அல்லர்.,False
143,"எனவே, கொடும்பாளூரில் இருவேறு குறுநில மன்னர் ஆட்சிபுரிந்து கொண்டிருந்தனர் என்று கொள்வது எவ்வாற்றானும் ஏற்புடையதன்று.",False
144,"ஆகவே, சோழர் குறுநில மன்னராயிருந்த காலத்தில் கொடும்பாளூரில் இருந்திலர் என்பது திண்ணம்.",False
145,"இதில் குறிப்பிடப் பெற்ற அரசன், அடிகள் காலமாகிய கி.",False
146,அந்நகரம் மிகப் பழமை வாய்ந்த தொன்று.,False
147,அந்நகரில் பண்டைச் சோழரது அரண்மனையிருந்த இடம் இக்காலத்தில் சோழ மாளிகை என்ற பெயருடன் ஒரு தனி ஊராக உளது.,False
148,அவை நான்கும் இந்நாளில் தனித்தனி ஊர்களாக உள்ளன.,False
149,"இரண்டாம் பராந்தகன், கங்கைகொண்ட சோழன் முதலானோர் அம் மாநகரில் பல நாட்கள் தங்கியிருந்தமையும் அறியத்தக்கது.",False
150,"பத்து, பதினொன்றாம் நூற்றாண்டுகளில் சோழ அரச குடும்பத்தினருள் சிலர் அங்கு வாழ்ந்துவந்தனர் என்பது கல்வெட்டுக்களால் புலப்படுகின்றது.",False
151,"எனவே, அது சோழரது பழைய நகரங்களுள் ஒன்றாயிருத்தல் வேண்டும் என்பது வெளியாதல் காண்க.",False
152,"அந்நகரில்தான், பல்லவர் காலத்தில் குறுநில மன்னராயிருந்த சோழர் இருந்தனர் என்பது கண்டு உணரற்பாலதாகும்.",False
153,சமயகுரவராகிய சுந்தரமூர்த்திகள் கூறியுள்ள கருவூர்த்துஞ்சிய புகழ்ச்சோழர் என்பார் கி.,False
154,ஆறாம் நூற்றாண்டிலாதல் அதற்கு முன்னராதல் இருந்திருத்தல் வேண்டும்.,False
155,அவரைப்பற்றிய தெளிவான செய்திகள் கிடைக்கவில்லை.,False
156,"இதனை, மங்கையர்க்கரசி வளவர்கோன் பாவை வரிவளைக்கை மடமானி பங்கயச் செல்வி பாண்டிமாதேவி என்னும் திருஞான சம்பந்தர் அருட்பாடலால் நன்கறியலாம்.",False
157,மங்கையர்க் கரசியின் தந்தை மணிமுடிச் சோழன் என்னும் பெயரினன் என்பது அவ்வடிகள் திருவாக்கினால் உணரப்படுகின்றது.,False
158,"ஆகவே, கி.",False
159,ஏழாம் நூற்றாண்டின் இடைப்பகுதியில் மணிமுடிச்சோழன் என்ற மன்னன் ஒருவன் சோழநாட்டில் இருந்தனன் என்பது பெறப்படுதல் காண்க.,False
160,இவன் கி.,False
161,"எட்டாம் நூற்றாண்டின் இறுதியிலும், ஒன்பதாம் நூற்றாண்டின் தொடக்கத்திலும் சோழநாட்டில் வாழ்ந்துகொண்டிருந்த ஒரு சோழர் குலக் குறுநில மன்னன் ஆவான்.",False
162,அவன் கி.பி.,False
163,ஒன்பதாம் நூற்றாண்டின் முற்பகுதியில் சோழநாட்டில் குறுநில மன்னனாக வாழ்ந்து கொண்டிருந்த ஒரு சோழர் குலத்தோன்றல் என்பதில் ஐயமில்லை.,False
164,முதல் கி.,False
165,அவர்கள் அவ்வாறு கருதுவதற்கு இரு காரணங்கள் சொல்லப் படுகின்றன.,False
166,"ஒன்று, சீன வழிப்போக்கனாகிய ஹியூன்சாங் என்பவன் கி.",False
167,சோழன் விசயாலயன் கி.,False
168,பி சோழர் பேரரசை நிறுவ முதலில் அடிகோலியவன் கி.,False
169,ஒன்பதாம் நூற்றாண்டின் இடையில் எழுந்த விசயாலயன் என்னும் சோழ மன்னனே யாவன்.,False
170,இவன் தஞ்சை மாநகரைக் கைப்பற்றி அதனைத் தன் தலைநகராக வைத்துக் கொண்டனன் என்று திருவாலங்காட்டுச் செப்பேடுகள் உணர்த்துகின்றன.,False
171,விசயாலயன் காலத்திற்குப் பல ஆண்டுகளுக்கு முன்னரே தஞ்சை மாநகர் சிறப்புடன் இருத்தது என்பது கி.,False
172,எட்டாம் நூற்றாண்டில் பொறிக்கப்பெற்ற செந்தலைக் கல்வெட்டுக்களால் புலனாகின்றது.,False
173,ஆகவே தஞ்சாவூரை விசயாலயன் புதிதாக அமைத்தான் என்று கன்னியாகுமரிக் கல்வெட்டு உரைப்பது பொருத்தமில் கூற்றேயாம்.,False
