Line Number,Sentence
1,"இவ்விரு இலக்கணங்களும், கிறித்துவுக்குப் பல்லாயிரமாண்டுகளுக்கு முன் உள்ள தமிழர்களது வாழ்க்கை முறை களைக் காட்டும் படிமக்கலங்களாகும்."
2,"ஆகவே தமிழர்களது பழைய சரித்திரங்களை ஆராயப் புகும் எவருக்கும் அகப்பொருள், புறப்பொருள் அறிவு இன்றியமையாதது."
3,புறப்பொருள் இலக்கணத்தை ஆதாரமாகக் கொண்டு செய்யப் பட்டன புறப்பொருள் வெண்பாமாலையும் புறநானூற்றிற் காணப்படும் செய்யுட்களுமாகும்.
4,புறப்பொருள் வெண்பாமாலைப் பாயிரத்தால் தொல் காப்பியத்தைவிடப் புறப்பொருள் இலக்கணங்கூறும் பன்னிருபடலம் என்னும் ஓர் நூல் இருந்ததாகத் தெரிகிறது.
5,தொல்காப்பியம் கூறும் புறப் பொருள் இலக்கணத்திற்கும் பன்னிரு படலத்திற் கூறப்படுவன வற்றுக்கும் சில வேறுபாடுகள் உண்டு.
6,தொடர்பு பெறாது தனித்தனியாக விளக்க வேண்டிய பொருட் கூறுபாடுகள் ஒழிபியலில் விளக் கப்பட்டிருக்கின்றன.
7,"தமிழ்நிலையம் நாவலியூர், .. ந."
8,புறப்பொருள் விளக்கம் தோற்றுவாய் புறப்பொருள் பழந்தமிழரின் போரொழுக்கத்தைக் கூறும்.
9,"இவ் வொழுக்கங்களை புறப்பொருள் வெண்பாமாலை, தொல்காப்பியம் முதலிய நூல்கள் திணைவகையானும் துறைவகையானும் இலக்கண முறையிற் கூறுகின்றன."
10,அவ் விஷயங்கள் பலவற்றையும் தொடர்புபடுத்தி ஆராய்ந்து விளங்கி மகிழ்வது சாமானிய கல்வியாளர்க்கு எளிதன்று.
11,கூத்தர் கூத்தியர் முதலானோர் அகப்பொருள் புறப்பொருள் விஷயங்களை மன்னர் அவைகளில் நடித்துக் காட்டுதல் வழக்கு.
12,காதல் சம்பந்தமாகிய அகம் வேத்தியல் எனப்படும்.
13,அகப்பொருள் நாடகங்கள் அரசர் அவைகளிலன்றி ஏனைய விடங்களில் நடித்தற்கு அரசரால் அனுமதிக்கப் பட்டில.
14,புறப்பொருள் சம்பந்தமாகிய பொதுவியல் எல்லா விடங்களிலும் நடிக்கப் பெற்றது.
15,அகப்பொருள் பற்றியும் புறப்பொருள் பற்றியும் புலவர்களாற் பாடப் பட்ட தனிநிலைச் செய்யுட்கள் சந்தர்ப்பத்திற்கேற்ப நாடகங்களிற் பாடப் பட்டு வந்தன.
16,புலவர்கள் பாடிக்கொண்டு வந்த அகப்பொருட் பாடல்களை அரசர்கள் மதித்து அவற்றிற்கு வெகுமதி அளித்தது இக் காரணம்பற்றிப் போலும்.
17,புறப்பொருட் பாடல்களை நாடகங்களில் பாடுவதால் வேந்தர்க ளுடைய புகழ் உலகின்கண் பரவா நிற்கும்.
18,இவ் விஷயம் ஆராய்ச்சிக் குரியது.
19,வென்றது வாகை எனப்படும்.
