Line Number,Sentence
1,பதினெண்கீழ்க்கணக்கு .
2,திருக்குறள் .
3,திரிகடுகம் .
4,ஆசாரக்கோவை மாணவர் பதிப்பகம் சென்னை நூற் குறிப்பு நூற்பெயர் பதினெண்கீழ்க்கணக்கு ஆசிரியர் பழைய உரையாசிரியர்கள் பதிப்பாளர் இ.
5,"படிகள் நூலாக்கம் பாவாணர் கணினி தி.நகர், சென்னை ."
6,அட்டை வடிவமைப்பு வ.
7,"மலர் அச்சிட்டோர் ஸ்ரீ வெங்கடேசுவரா ஆப்செட் பிரிண்டர்சு இராயப்பேட்டை, சென்னை ."
8,கணக்கு என்ற சொல்லுக்கு நூல் என்று பொருள்.
9,கீழ் என்பது பாடலின் குறுகிய அளவைக் குறிப்ப தாகும்.
10,பதினெட்டு நூல்களின் பெயர்கள் .
11,நாலடி நாலடியார் .
12,நான்மணிக்கடிகை .
13,"இனியவை நாற்பது, ."
14,"இன்னா நாற்பது, ."
15,"கார் நாற்பது, ."
16,களவழி நாற்பது .
17,திணைமொழி ஐம்பது .
18,"ஐந்திணை எழுபது, ."
19,"ஐந்திணை ஐம்பது, ."
20,திணைமாலை நூற்றைம்பது எ பதினெண்கீழ்க்கணக்கு .
21,முப்பால் திருக்குறள் .
22,கடுகம் திரிகடுகம் .
23,கோவை ஆசாரக் கோவை .
24,பழமொழி பழமொழி நானூறு .
25,மாமூலம் சிறுபஞ்ச மூலம் .
26,காஞ்சி முதுமொழிக் காஞ்சி .
27,ஏலாதி ஏலாதி .
28,கைந்நிலை கைந்நிலை ஆகிய பதினெட்டு நூல்களாம்.
29,"திருக்குறள், நாலடியார் இரண்டும் அறம், பொருள், இன்பம் ஆகிய மூன்றும் கூறும் அறநூல்களாகும்."
30,"கார் நாற்பது, திணைமொழிஐம்பது, ஐந்திணை ஐம்பது, ஐந்திணை எழுபது, திணைமாலைநூற்றைம்பது, கைந்நிலை ஆகிய ஆறும் அகப்பொருள் நூல்களாகும்."
31,களவழி நாற்பது ஒன்று மட்டும் போர்க்களக் காட்சியைக் கூறும் புறப்பொருள் நூலாகும்.
32,பதினெண்கீழ்க் கணக்கு நூல்கள் மக்கள் வாழ்வை வளப்படுத்துவன.
33,"இளமையும் அழகும், செல்வமும் செல்வாக்கும் பொன்னும் பொருளும் நிலையற்றது."
34,கல்வி ஒன்றே நிலையானது என்பது இந்நூல்கள் வலியுறுத்திக் கூறும் அரும்பெரும் செய்திகளாகும்.
35,தமிழ்க் கடலில் மூழ்கி முத்தெடுத்து உலகத் தமிழினத்திற்கு வாரி வழங்கும் முதுபெரும் தமிழாசான்.
36,"சங்கச் சான்றோர்கள் வரிசையில் வைத்து எண்ணத்தக்க சொல்லாக்கச் செல்வர், குறளாய அறிஞர்."
37,இப்பெருந்தகையின் உதவிக்கு என்றும் நன்றியுடையேன்.
38,பதினெண்கீழ்க் கணக்கு நூல்களைத் தமிழ் உலகிற்கு பிழை யற்ற செம்பதிப்பாக வழங்கி யுள்ளோம்.
39,முன்னோர்கள் வைப்பாக விட்டுச் சென்ற செந்தமிழ்ச் செல்வங்களையெல்லாம் தமிழ்க் காப்புப் பணிக்கு மறுபதிப்பாக வெளியிட்டு வருகிறோம்.
40,தமிழுலகம் கை கொடுத்து உதவும் என்று நம்புகிறோம்.
41,கெடல் எங்கே தமிழின் நலம் அங்கெல்லாம் தலையிட்டுக்கிறாச்சி செய்க எனும் பாவேந்தர் வரிகளை நினைவில்கொள்வோம்.
42,"மேலும், வெண்பாக்கள் ஐம்பது முதல் ஐந்நூறு வரை கொண்டது எனின் அது கீழ்க் கணக்கு ஆகும் என்கிறது."
43,கீழ்க்கணக்கிற்கு அமையும் மற்றோர் இலக்கணம்.
44,அடிநிமிர்வு இல்லாச் செய்யுள் தொகுதி என்கிறது.
45,"பஃறொடை வெண்பா, கலிவெண்பா என்பவை அடி நிமிர்வுடையவை."
46,அத்தகைய அடிப்பெருக்கம் இல்லா வெண்பாவே கீழ்க்கணக்குக்கு உரியது என்கிறது.
47,"மேலும் ஓர் இலக்கணமாக, அறம்பொருள் இன்பம் அடுக்கி அவ்வத் திறம்பட வருவது கீழ்க்கணக் காகும் என்கிறது."
48,பன்னிரு பாட்டியல் சொல்லும் இவ் இலக்கணம் கொண்டு மேற்கணக்கும் கீழ்க்கணக்கும் தொகுக்கப்பட்டவை அல்ல.
49,"மேற்கணக்கு கீழ்க்கணக்கு என வகுக்கப்பட்ட பின்னர், அத் தொகைகளைக் கொண்டு நூற்பா ஆக்கப்பட்டதே பாட்டியலாம்."
50,"என்னை எனின், எள்ளில் இருந்து எண்ணெய் எடுக்கப்படுவது போல இலக்கியத்தில் இருந்து எடுக்கப்படுவது இலக்கணம் ஆதலால் என்க."
51,ஐம்பது முதல் ஐந்நூறு பாடல்கள் என்னும் வரையறைக்குள் மேற்கணக்கு அடங்குவது இல்லை.
52,ஐம்பது பாடல் நூல் எதுவும் அதில் இல்லை.
53,பத்துப்பாட்டு என்பது பத்துப்பாடல்களே பத்தும் தனித்தனி நூல்களே.
54,"ஆதலால், அத்தொகை நூல் தொகையே யாம்."
55,ஐந்நூறு பாடல் என்பதற்கு ஐங்குறுநூறு சான்றாகும்.
56,"கீழ்க்கணக்கில் ஐம்பது பாடல்களுக்குக் குறைந்தவை கார்நாற்பது, களவழி நாற்பது, இன்னா நாற்பது, இனியவை நாற்பது என்பனவாம்."
57,"இனிமேல் எல்லை, கீழ்க்கணக்கில் ஒன்றாக அமைக்கப்பட்ட திருக்குறளொடு பொருந்தாது."
58,ஆயிரமும் தாண்டிய மூன்று நூற்று மூன்று பத்துக் குறள் களையுடையது.
59,"ஆதலால், இத்தொகைப் படுத்தினார் கருத்தும் அப்பாட்டியலார் கருத்தும் ஒத்துச் செல்லவில்லை."
60,பாட்டியலார் கண்ட தொகை நூல் வேறு எனவும் சான்றில்லை.
61,"ஆனால், அகவல், கலி, பரிபா, வெண்பா என்னும் யாப்பிலோ, அடி நிமிர்ந்தது."
62,அடிநிமிர் வல்லது என்னும் அடி அளவிலோ வேறுபாடு இல்லை.
