Line Number,Sentence
1,தமிழமுது மறு பதிப்பு தாள் . கி.
2,மேப்லித்தோ அளவு தெம்மி பக்கம் படிகள் விலை உரு.
3,நூலாக்கம் டெலிபாய்ண்ட் சென்னை .
4,அட்டை வடிவமைப்பு வி.
5,"சித்ரா அச்சு வெங்கடேசுவரா ஆப்செட் பிரிண்டர் இராயப்பேட்டை, சென்னை ."
6,"பதிப்புரை ஆம் நூற்றாண்டின் இறுதிப்பகுதியும், ஆம் நூற்றாண்டின் தொடக்கப்பகுதியும் தமிழ்ப்புலமையும் தமிழாய்வும் மேலோங்கி வளர்ந்த பொற்காலமாகும்."
7,இப் பொற்காலப் பகுதியில்தான் தமிழ்ப்பேரவைச் செம்மல் பெருந்தமிழறிஞர் க.
8,வெள்ளைவாரணனார் தோன்றி வளர்ந்து வாழ்ந்து தாய்மொழித் தமிழுக்கு வளமும் வலிமையும் சேர்த்தார்.
9,கைக்குக் கிடைக்கப் பெறாத நூல்களைத் தேடியெடுத்து இனிவரும் காலங்களில் வெளியிட முயல்வோம்.
10,"தம்முடைய தமிழாய்வுப்பணி மூலம் தமிழ் வரலாற்றில் நிலைத்து நிற்பவர், தமிழையும் சைவத்தையும் இரு கண்களெனக் கொண்டவர்."
11,தம் ஆய்வுப் புலமையால் பல புதிய செய்திகளையும் தமிழ் உலகுக்கு அளித்தவர்.
12,இவர் எழுதிய நூல்கள் தமிழ்உலகிற்குப் பெருமை சேர்ப்பன.
13,தமிழ் இலக்கிய வரலாற்றிற்கு கூடுதல் வரவாக அமைவன.
14,இவருடைய அறிவுச் செல்வங்கள னைத்தையும் ஆவணப்படுத்தும் நோக்குடன் தொகுத்து தமிழ் உலகிற்கு வைப்பாகக் கொடுத்துள்ளோம்.
15,எம் தமிழ்க் காப்புப் பணிக்கு துணை நிற்க வேண்டுகிறோம்.
16,பதிப்பகத்தார் முதல் பதிப்புரை சிவநெறியும் செந்தமிழும் வளர இயலும் பணிகளைச் செய்யும் பேரார்வமுடைய நண்பர்கள் திரு.
