Line Number,Sentence
1,"தாயகத்தின் அழைப்பு முதற் பதிப்பு இந்நூல் இல் பொன்னி லிமிடெட், சென்னை ."
2,வெளியிட்ட பதிப்பை மூலமாகக் கொண்டு வெளிவருகிறது.
3,மெல்லியல் மூவர் நவம்பர் மாதத்தில் ஒருநாள்.
4,பிற்பகல் நேரம்.
5,வானத்தில் வெங்கதிர் மறைந்துவிட்டது.
6,"கீழ்வானில் தண்கதிர் எழுந்து விட்டாலும், வானத்தின் வெள்ளொளியில் அதன் ஒளி மழுங்கி யுள்ளது."
7,வானத்தின் பகலொளியைச் சட்டை பண்ணாமல் நிலப்பரப்பில் அரையிருள் ஆட்சி தொடங்கிவிட்டது.
8,கருங்கும்மென்று கரிசல் பரப்பு கடல்போல் பரந்து கிடக்கின்றது.
9,புதர்க்காட்டின் பரப்பைக் கிழித்துக்கொண்டு வெள்ளிய நூலிழைபோல் ஒரு பாதை செல்கிறது.
10,அதன் வழியாகச் சற்று வழிதடவிச் செல்கின்றது.
11,ஏனெனில் அது ஒரு கிழவன் உருவம்.
12,கிழவனுக்கு முன்னே சற்றுத் தூரத்தில் கருமணலில் ஊரும் நண்டுபோல ஏதோ ஒன்று தெரிந்தது.
13,அவன் உடையின் செந்நிறம் முகத்திலும் ஆடைக்குப்புறமே தெரிந்த மேனியிலும் தோய்ந்திருந்தது.
14,அவன் ஒரு காவிக்காரன் என்பதை இது தெளிவாகப் புலப்படுத்திற்று.
15,புதர் நிலமக்கள் இன்னும்கூடக் கால்நடைகளுக்குக் குறியிடக் காவி மண்ணைத்தான் பயன்படுத்தி வந்தனர்.
16,அத்தொழிலில் பணம் எளிதாகப் புரண்டது.
17,ஆகவே உயர் நடுத்தர வகுப்பினர் கூட அதில் பெரும்பாலும் ஈடுபட்டனர்.
18,குழந்தைகளை அச்சுறுத்தத் தாய்மார்கள் அந்நாளில் நெப்போலியன் பெயரை வழங்குவர் அல்லது காவிக்காரனையே பூச்சாண்டியாகச் சுட்டிக் காட்டுவர்.
19,கிழவன் கண்ட காவிக்காரன் இத்தகைய செந்நிறப் பூச்சாண்டியாகவே தொலைவில் தோற்றினான்.
20,ஆனால் அணுகிப் பார்த்தபோது அந்தசந்தமான இளைஞனாகக் காணப்பட்டான்.
21,மேனி நிறமும் உடை நிறமும் இதனை முற்றிலும் மறைக்கவில்லை.
22,அவ்வண்டியில் அப்படிக் காவிக்காரனுக்கு என்ன அருமையாக இருக்கக்கூடும் என்று அறியக் கிழவன் ஆர்வம் கொண்டான்.
23,"அவனிடம் சிறிது பேச்சுக்கொடுத்து அப்பா, வண்டியில் என்ன இருக்கிறது அப்படி அடிக்கடி பார்ப்பதற்கு?"
24,உள்ளே உன் குழந்தை எதையாவது தூங்க வைத்திருக்கிறாயா? என்று கேட்டான்.
25,ஆனால் அவள் எனக்கு அறிமுகமானவள்.
26,உடல் நொந்து உள்ளமும் நொந்த நிலையில் துயரமுற்றிருக்கிறாள்.
27,அயர்ந்து தூங்குகிறாள்.
28,"அழுதழுது ஓய்ந்துவிட்டாள், நன்றாக இளைப்பாறட்டும் என்றான்."
29,காவிக்காரன் பேச்சு கிழவன் ஆர்வத்தை இன்னும் கிளறிற்றே தவிரக் குறைக்க முடியவில்லை.
30,அவள் யார்?
31,எந்த இடத்துக்குச் செல்கிறாள்?
32,என்ன அவள் துயர்? என்ற பல கேள்விகளை அவன் அடுக்கினான்.
33,காவிக்காரனுக்கு இக்கேள்விகளும் ஆர்வமும் கட்டோடு பிடிக்கவில்லை.
34,இதுவரை இவன் பேச்சுக்கு இடங்கொடுத்ததே தவறு.
35,தன்னால் மதிப்பும் ஆதரவும் அளிக்கப்பெற்ற நங்கையின் செய்திகளைத் துளைத்தறிய இவன் யார்? என்று அவன் எண்ண மிட்டான்.
36,ஆகவே சற்றுக் கண்டிப்பான குரலில் அதெல்லாம் இப்போது கூறிக்கொண்டிருக்க நேரமில்லை தேவையுமில்லை.
37,அது என்னைப் பொறுத்த செய்தியுமல்ல.
38,மேலும் நான் குதிரைகளுக்குச் சிறிது ஓய்வு கொடுத்துத்தான் வரவேண்டும்.
39,நான் நின்றுதான் வரப்போகிறேன்.
40,நீங்கள் சென்று வாருங்கள் என்றான்.
41,கிழவன் சிறிது சுண்டிய முகத்துடன் சப்புக் கொட்டிக் கொண்டு சென்றான்.
42,காவிக்காரன் வண்டியை அவிழ்த்து விட்டுக் குதிரைகளுக்கு இரண்டு சிரங்கை உணக்கற்புல் எடுத்துப் போட்டான்.
43,கிழவனையே பார்த்த வண்ணம் அவன் ஏதோ சிந்தனையிலாழ்ந்தான்.
44,கிழவன் வடிவம் விரைவில் ஒரு புள்ளியளவாகக் குறைந்து இருளில் இருளாய் மறைந்துவிட்டது.
45,இன்று அந்தப் பேச்சுக்கு இடமில்லைதான்.
46,ஒரு காலத்தில் அந்தக் கனவு இல்லாமலில்லை.
47,ஆனால் அந்தப் பழைய எண்ணத்தைப் பற்றி இப்போது அவனுக்கு அவ்வளவாகக் கவலையில்லை.
48,அவள் துயரம்தான் அவனைக் கலக்கிற்று.
49,அவள் அவன் வண்டியின் உதவியையும் அதன் மூலம் தனக்கு மறைவையும் ஓய்வையும் கோரினாள்.
50,அக்காட்சி அவனை உருக்கிற்று.
51,அவன் உள்ளக் கதவும் திறந்தது.
52,நொந்தழுத பிள்ளையை அணைக்கும் தாயின் நெஞ்சு போல வண்டி அவளை ஏற்றது.
53,பிள்ளை அழுவதுபோல அவள் அழுதாள்.
54,பிள்ளை அழுதோய்ந்து தாய் மடியில் உறங்குவதுபோல அவளும் உள்ளே உறங்கினாள்.
55,அது கண்டு அவன் ஆறுதலுற்றான்.
56,"பேசாமடந்தை விடுதி! ஆம், அங்கேதான் தன்னை இறக்கி விடும்படி அவள் கோரியிருந்தாள்."
57,அது எங்கேயிருக்கிறது?
58,"அவன் புதர்க்காட்டிற் பிறந்தவன்தான், அதன் வழிகளை நன்கு அறிந்தவன்தான், ஆனாலும் இப்பெயரை அவன் இதற்குமுன் கேட்டதில்லை."
59,யாரிடம் வினவுவது?
60,கிழவனிடம் கேட்டிருக் கலாம்.
61,அவன் வேண்டாத வகையில் துன்பத்தில் துவளும் இம்மெல்லியலாள் பற்றித் துளைத்தறிய விரும்பினான்.
62,ஆகவே வேறு யாரையாவது கண்டு வினவவேண்டும் என்று காவிக்காரன் சிந்தித்தான்.
63,அவன் கண்கள் நாற்புறமும் தேடின.
64,யாரையும் காண்பதா யில்லை.
65,ஆயினும் என்ன?
66,அன்று நவம்பர் ஐந்தாம் நாள் என்பது அவனுக்குத் தெரியும்.
67,புதர்க்காடெங்கும் அது சொக்கப்பனை விழா நாள்.
68,பிரிட்டானியர் கிறிஸ்தவராவதற்கு முன்னிருந்த ஆயிரக்கணக்கான ஆண்டுகளாகக் கிறிஸ்தவ நாகரிகம் கடந்து வெஸ்ஸெக்ஸ் புதர் நில மக்களிடையே அது வழங்கிவந்தது.
69,இன்னும் சிறிது நேரத்தில் நாற்புறமும் பலப்பல அழற்பிழம்புகள் தெரியும்.
70,"அதுவரை எவரும் வராவிட்டால், அருகிலுள்ள ஏதேனும் ஒரு ஒளி விளக்கத்தினருகில் சென்று வழி வினவலாம் என்று காவிக்காரன் காத்திருந்தான்."
71,"சிறிது நேரத்தில் ஒவ்வொன்றாக மூலைதோறும் வெள்ளொளிகள், செவ்வொளிகள், மின்னொளிகள், கரும் புகைச் சுருள்கள் தெரிந்தன."
72,புதர்க்காட்டின் மையத்தில் அதன் பிடரிபோலிருந்த நடுமேட்டின் மீது பண்டைக் கல்லறைமாடம் ஒன்று இருந்தது.
73,காவிக்காரன் கண்கள் அதன்மீது சென்றன.
74,அதில் இன்னும் ஒளியில்லை.
75,ஆனால் வானத்தின் பின்னணியில் அதன் புறவடிவம் நன்கு தெரிந்தது.
76,மேட்டின் தலைபோல ஒரு குவடும் அதன் மிது தலையணைபோலக் கல்லறை மாடமும் தோன்றின.
77,கல்லறை மாடத்தின்மீது தலையணிச் சூட்டுப்போல ஒரு நிமிர்கோடு தெரிந்தது.
78,"முதலில் அது உயிரற்ற ஏதோ பொருள்போலத் தோற்றினாலும், அது சிறிது சிறிதாக அசைவதும், நகர்வதும் தெரிந்தது."
79,"அவ்வசைவு அது ஒரு மனித உரு என்றும், அசைவின் குழைவுநெளிவு அது ஓரிளம்பெண் என்றும் காட்டின."
80,அவ்வடிவம் விரைவில் குவட்டின் கீழ்பால் இறங்கிச் சென்றது.
81,அதேசமயம் வேறு பல நிழலுருக்கள் தலையில் ஏதோ தாங்கிய வண்ணம் குவட்டின் மேற்புறம் சென்றன.
82,பின் ஒன்றன் பின் ஒன்றாக ஏறிச் சென்றன.
83,தலையின் சுமடுகள் புதர்க்கட்டுகள் என்பதை அவனால் ஊகிக்க முடிந்தது.
84,மாடத்தின் உச்சியில் விரைவில் ஒரு சிற்றொளி எழுந்து பேரொளியாகப் படிப்படியாக அழல் வீசத்தொடங்கிற்று.
85,மாடம் அருகேதான் இருந்தது.
86,நங்கை இன்னும் தூங்கிக் கொண்டுதான் இருந்தாள்.
87,குதிரைகள் இன்னும் உணக்கற் புல்லைக் கறித்துக்கொண்டுதான் இருந்தன.
88,காவிக்காரன் வழிவினவும் எண்ணத்துடன் அவற்றை அப்படியே விட்டுவிட்டு எழுந்து மாடத்தை நோக்கிப் புறப்பட்டான்.
89,மாடத்தின் உச்சியெல்லாம் இப்போது செந்தீ வண்ணமாய் தெரிந்தது.
90,சுடர்ப்பொறிகள் தெறித்தெழுந்து வானவெளியைச் சென்று முத்தமிட்டு மாய்ந்தன.
91,கூளிகளும் குறளிகளும் போலத் தெரிந்த ஆண்பெண் குழந்தை நிழல் வடிவங்கள் அழலொளியை மாறிமாறி மறைந்த வண்ணம் சுற்றிக் கூத்தாடின.
92,கூத்துக்குரிய குரவைப் பாட்டும் அதன் சந்தத்துக்குரிய கைகொட்டோசையும் இருளில் மிதந்து காவிக்காரன் செவிகளில் தெளிவாகக் கேட்டன.
93,தன்னதா னா தனனா தன்ன தானா!
94,தன்னானா தன்னதன தான தன்னா!
95,"தன்னதா மந்திரிமா ரே வருவீர் என்றான் மன்னன் வந்தார்கள் ஒன்று, இரண்டு மூன்று பேர்கள்."
96,தன்னதா பாடியவர் வேறு யாருமில்லை வழியில் முந்திச் சென்று மறைந்த கிழவர்தான்.
97,இளைஞர் மங்கையர் சிறுவர் பலர் பாடியும் அவர்கள் குரல் கடந்து அவர் குரலும் முழக் கொட்டும் எக்களிப்பும் கேட்டன.
98,"குறுக்கு நெடுக்காக வில்போல் வளைந்து, பாம்புபோல நெளிந்து சென்ற அவர் உடலின்மீது செவ்வொளி படர்ந்தது."
99,அதன் நரம்புகள் வில்நாண்போல் அதிர்வுற்றன.
100,முகத்தின் குறும்புநகை ஒளி விளக்கத்துடன் மல்லாடிற்று.
101,இக்காட்சி கிழவன்மீது காவிக்காரனுக்கிருந்த பழைய கடுகடுப்பைக்கூட மறக்கடித்தது.
102,"சிறுவன் ஒருவன் கிழவனை இடித்துக்கொண்டு, முன் வந்து காண்டில் தாத்தா, இன்று உனக்கென்ன இளமையே வந்து சற்று எட்டிப்பார்க்கிறதோ?"
103,"ஏன், இன்னொரு தடவை மணம் செய்து கொள்ளேன் என்றான்."
104,அவ்விடுதிக்காரப் புதுப்பணக்காரன் ஊராரை ஏய்த்துத் திருமணம்செய்து வருகிறானாம்.
105,போய் அவனுக்குத் திருமணக் கூத்தடித்து அவன் புட்டிகள் ஒன்றிரண்டைக் காலி செய்யலாம் வா என்றான்.
106,"அண்ணே, எல்லோரும் போகலாம் என்றான் டிமதி."
107,அழல் அவிந்து இதற்குள் கரியும் சாம்பலும் பறந்தன.
108,இருள் மட்டும் கவிந்தது.
109,மற்ற ஒளிகளும் பல்வேறுநிலையில் அணைந்து வந்தன.
110,ஒன்றுமட்டும் நீடித்தொளி வீசிற்று.
111,அதுதான் மீகாமன் வை வீட்டில் அதன் பேர்த்தி யூஸ்டேஷியா வளர்க்கும் தீ என்றான் ஒருவன்.
112,அந்தப் படுபாவி சூனியக்காரி இப்படிப் பேய்ச் சூனியம் பண்ணுவதால்தான் என்பிள்ளை குற்றுயிராய் நலிகிறது.
113,அவள் பந்தம் கொளுத்துகிற நாளெல்லாம் என் பிள்ளை நோயால் துடிக்கிறது என்றாள் ஒரு கந்தலாடைப் பெண்.
114,"நீ கடவுளை மறந்தாலும் மறப்பாய், சூசன்நண்சச்!"
115,பேய்ச் சூனியத்தை மறக்கமாட்டாய் என்றான் ஃவெர்வே.
116,உன் பிள்ளை வாழ்வை அது பாதித்தால் தெரியும் உனக்கு என்று அவள் சீறினாள்.
